Date,Google,Facebook,Apple
2020-02-04,72.3535,209.830002,78.222084
2020-02-05,72.411499,210.110001,78.85994
2020-02-06,73.811501,210.850006,79.782356
2020-02-07,73.961502,212.330002,78.697899
2020-02-10,75.433998,213.059998,79.071686
2020-02-11,75.439499,207.190002,78.594627
2020-02-12,75.913498,210.759995,80.461067
2020-02-13,75.733002,213.139999,79.888092
2020-02-14,76.037003,214.179993,79.907768
2020-02-18,75.983498,217.800003,78.444618
2020-02-19,76.334503,217.490005,79.580711
2020-02-20,75.907501,214.580002,78.76429
2020-02-21,74.255501,210.179993,76.981468
2020-02-24,71.079498,200.720001,73.324821
2020-02-25,69.422501,196.770004,70.841141
2020-02-26,69.658997,197.199997,71.964951
2020-02-27,65.904503,189.75,67.260719
2020-02-28,66.966499,192.470001,67.221382
2020-03-02,69.455498,196.440002,73.479744
2020-03-03,67.069504,185.889999,71.146072
2020-03-04,69.325996,191.759995,74.446144
2020-03-05,65.952003,185.169998,72.031357
2020-03-06,64.920502,181.089996,71.07476
2020-03-09,60.778,169.5,65.4533
2020-03-10,64.019501,178.190002,70.167351
2020-03-11,60.7705,170.240005,67.730415
2020-03-12,55.745499,154.470001,61.041721
2020-03-13,60.9865,170.279999,68.355019
2020-03-16,54.216499,146.009995,59.561352
2020-03-17,55.990002,149.419998,62.180271
2020-03-18,54.84,146.960007,60.6581
2020-03-19,55.7645,153.130005,60.193336
