,datetime,duration,title,genres,release_date,movie_id,user_id
191,2017-01-01 03:08:56,49380.0,Asterix the Gaul,NOT AVAILABLE,NOT AVAILABLE,a179dc9681,8e1be40e32
192,2017-01-01 03:21:47,46967.0,On the Waterfront,"Crime, Drama, Thriller",1954-06-22,3f2246822a,8db5f8f85e
193,2017-01-01 11:50:12,3171.0,Joe and Caspar Hit the Road,"Documentary, Adventure, Comedy",2015-11-23,416464eaad,2b022d81ef
194,2017-01-01 13:01:18,5047.0,The SpongeBob SquarePants Movie,"Animation, Action, Adventure, Comedy, Family, Fantasy",2004-11-19,a80d6fc2aa,177868f4f8
195,2017-01-01 14:10:52,21521.0,The Woman in Black: Angels of Death,"Drama, Horror, Thriller",2015-01-02,18545ebd1f,c68c094f90
196,2017-01-01 14:48:23,23475.0,The DUFF,"Comedy, Romance",2015-02-20,cca7749d82,9df43c1400
197,2017-01-01 14:50:48,34108.0,What's Your Number?,"Comedy, Romance",2011-09-30,8f8b895191,700e285626
198,2017-01-01 16:34:58,8849.0,Good Will Hunting,"Drama, Romance",1998-01-09,196b10fbd4,78cdb81c4f
199,2017-01-01 18:39:37,5453.0,The Dudesons Movie,"Documentary, Action, Comedy",2006-03-31,779f4fce8b,d2b1123bae
200,2017-01-01 19:57:26,600.0,Megamind,"Animation, Action, Comedy, Family, Sci-Fi",2010-11-05,646e06bbec,9fefc29b1c
201,2017-01-01 21:16:53,63669.0,London Has Fallen,"Action, Thriller",2016-03-04,f77e500e7a,18c10ac8e5
202,2017-01-01 23:36:24,5044.0,The Kill Team,Documentary,2013-04-26,00199feadd,f0506de254
203,2017-01-01 02:18:42,6934.0,Iron Man 3,"Action, Adventure, Sci-Fi",2013-05-03,afab92c7a7,3a142199a8
204,2017-01-01 04:04:32,186984.0,The Twilight Saga: New Moon,"Adventure, Drama, Fantasy, Romance",2009-11-20,5d495dbf00,e6d9057367
205,2017-01-01 11:42:57,38311.0,Visions,NOT AVAILABLE,NOT AVAILABLE,18f52496b8,959ba23988
206,2017-01-01 12:18:44,39207.0,Kung Fu Hustle,"Action, Comedy, Fantasy",2005-04-22,cc964c1ceb,8aff21d9e9
207,2017-01-01 14:43:21,20770.0,Maléna,"Comedy, Drama, Romance, War",2001-02-02,e56f67ce81,eca06b6110
208,2017-01-01 14:52:22,97143.0,Jack Reacher,"Action, Thriller",2012-12-21,1e70af3161,f1d39a04f7
209,2017-01-01 15:08:17,6382.0,London Has Fallen,"Action, Thriller",2016-03-04,f77e500e7a,7c7a682529
210,2017-01-01 15:54:56,12600.0,Imagine That,"Comedy, Drama, Family, Fantasy",2009-06-12,8b5771257d,5e05d4a6ba
211,2017-01-01 16:24:34,3443.0,On the Waterfront,"Crime, Drama, Thriller",1954-06-22,3f2246822a,8db5f8f85e
212,2017-01-01 17:02:15,361278.0,The Interview,"Action, Adventure, Comedy",2014-12-24,2d01b1371c,e49daf2eff
