Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62df9bc53c1032d3aba7ffcd,5d8cef3c28e183001a335ab0,APPROVED,2022-07-26T07:46:18.773000Z,2022-07-26T07:54:28.450000Z,2022-07-27T11:22:22.091000Z,,490,MBIMZO1R,2612,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62df9e14e7e57c4ae1d8d6f1,5c5cad3e4ee81200018eafe2,APPROVED,2022-07-26T07:56:04.807000Z,2022-07-26T08:05:27.803000Z,2022-07-27T11:22:21.570000Z,,563,MBIMZO1R,2765,71,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62dfa02537849b8ed66dcdfb,5d470786da637a00014ba26f,APPROVED,2022-07-26T08:04:53.951000Z,2022-07-26T08:20:07.618000Z,2022-07-27T11:22:21.431000Z,,914,MBIMZO1R,2530,37,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62dfa02e42c7301eb367dc87,614cf77b629fca80fcb9168d,APPROVED,2022-07-26T08:05:40.212000Z,2022-07-26T08:18:10.489000Z,2022-07-27T11:22:16.395000Z,,751,MBIMZO1R,198,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
62dfa02eaeb74f0387c444b7,5ea01b4b2d7b4d0243d93f78,APPROVED,2022-07-26T08:05:07.291000Z,2022-07-26T08:12:51.680000Z,2022-07-27T11:22:21.293000Z,,465,MBIMZO1R,1522,76,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62dfa02f42f44a688c2a9234,5c2e6546af699500010f521a,APPROVED,2022-07-26T08:09:13.187000Z,2022-07-26T08:23:09.926000Z,2022-07-27T11:22:13.735000Z,,837,MBIMZO1R,1608,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
62dfa030fb9f7bab6dbabebe,6272f5f3d37c1c9e88c115a2,APPROVED,2022-07-26T08:05:07.831000Z,2022-07-26T08:23:04.027000Z,2022-07-27T11:22:21.128000Z,,1077,MBIMZO1R,764,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62dfa031172daea7d4ca3663,5ca183e45a47af00013463ab,APPROVED,2022-07-26T08:05:09.152000Z,2022-07-26T08:14:17.518000Z,2022-07-27T11:22:20.988000Z,,549,MBIMZO1R,1676,70,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62dfa032572949fa5dc9a39c,62a212208e8395cfb1c4e42b,APPROVED,2022-07-26T08:05:10.968000Z,2022-07-26T08:10:03.112000Z,2022-07-27T11:22:20.601000Z,,293,MBIMZO1R,601,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62dfa0346e68bccf39055ade,5e299f15090b9b000c8e768d,APPROVED,2022-07-26T08:05:14.028000Z,2022-07-26T08:11:42.275000Z,2022-07-27T11:22:20.191000Z,,389,MBIMZO1R,1525,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
