A_YEAR, Q46 (Happiness),"Q260 (Gender, 1 Male, 2 Female)",Q262 (Age),"Q288 (Income Scale, 1 - Low, 10 - High)"
2018,2,1,47,7
2018,2,2,40,7
2018,2,1,37,3
2018,2,1,32,6
2018,2,1,42,4
2018,2,1,45,4
2018,1,1,49,4
2018,2,2,45,-2
2018,2,2,45,6
2018,1,1,26,6
2018,1,2,68,6
2018,1,1,35,6
2018,1,1,27,10
2018,2,1,21,8
2018,2,2,55,1
2018,2,2,80,1
2018,1,2,66,2
2018,2,2,69,5
2018,1,2,39,2
2018,3,2,86,3
2018,2,1,29,3
2018,2,1,56,7
2018,1,1,56,5
2018,2,1,60,6
2018,2,2,40,4
2018,2,2,27,5
2018,1,1,48,10
2018,1,1,53,-2
2018,1,1,76,4
2018,1,2,40,5
2018,1,2,51,-2
2018,2,1,57,5
2018,2,1,24,4
2018,1,2,36,6
2018,1,2,28,2
2018,2,2,77,-2
2018,1,1,45,-2
2018,1,1,39,7
2018,1,1,45,-2
2018,2,1,51,6
2018,1,1,67,8
2018,1,1,61,-2
2018,2,1,52,-2
2018,2,1,68,6
2018,2,2,55,5
2018,2,1,73,4
2018,2,1,69,5
2018,2,1,84,6
2018,2,1,31,5
2018,1,1,64,4
2018,2,2,60,5
2018,2,1,34,8
2018,2,1,43,3
2018,2,1,45,8
2018,2,1,38,7
2018,1,2,61,6
2018,1,1,70,5
2018,2,1,61,-2
2018,2,1,63,6
2018,2,1,74,8
2018,1,2,47,-2
2018,2,2,53,-2
2018,3,1,90,-2
2018,2,1,88,2
2018,1,1,21,9
2018,2,1,47,5
2018,1,1,42,-2
2018,2,1,71,6
2018,1,1,86,6
2018,2,1,73,-2
2018,3,1,87,8
2018,1,1,78,7
2018,1,1,74,9
2018,1,1,66,-2
2018,2,1,80,6
2018,2,1,73,7
2018,2,1,60,5
2018,1,1,61,-2
2018,1,1,68,6
2018,1,1,32,5
2018,2,1,47,5
2018,1,1,70,2
2018,2,1,87,4
2018,2,1,88,6
2018,1,1,73,2
2018,2,1,61,5
2018,2,1,66,2
2018,2,1,77,5
