,Code,Year,Population (England),Annual CO₂ emissions (per capita),Total CO2 emissions,Relative per capita CO2 emissions,Relative total CO2 emissions
79,GBR,1874-01-01,22266000,7.8494673,174776238.9018,779.7122875003241,2948.551935034344
80,GBR,1875-01-01,22571000,8.204209,185177201.33900002,814.9498968574271,3124.0207408235374
81,GBR,1876-01-01,22880000,8.109264,185539960.32,805.5187112358603,3130.1406442045663
82,GBR,1877-01-01,23194000,8.173879,189584949.526,811.9371225154173,3198.381389202206
83,GBR,1878-01-01,23511000,7.948812,186884518.932,789.5805091678038,3152.823938696372
84,GBR,1879-01-01,23833000,7.9218984,188802604.5672,786.9070965884727,3185.182886038225
85,GBR,1880-01-01,24159000,8.554357,206664710.76299998,849.7311995381407,3486.524464952775
86,GBR,1881-01-01,24474000,8.9127865,218131536.80099997,885.3351296739598,3679.9748579552465
87,GBR,1882-01-01,24797000,8.91293,221013925.20999998,885.3493839805235,3728.6020167399865
88,GBR,1883-01-01,25013000,9.199512,230107393.65600002,913.8164758526585,3882.012824473938
89,GBR,1884-01-01,25292000,8.885094,224721797.448,882.5843465065974,3791.155450381261
90,GBR,1885-01-01,25574000,8.708424,222709235.37600002,865.0351594639707,3757.2026440440873
91,GBR,1886-01-01,25859000,8.559922,221351022.998,850.283988500003,3734.2890045213276
92,GBR,1887-01-01,26148000,8.708795,227717571.66,865.072012061428,3841.6954774766
93,GBR,1888-01-01,26440000,8.981743,237477284.92,892.1847958102869,4006.3461279252692
94,GBR,1889-01-01,26735000,9.223888,246600645.68,916.2378206387064,4160.261232129044
95,GBR,1890-01-01,27003000,9.356449,252652192.347,929.4055219097633,4262.3534830382705
96,GBR,1891-01-01,27304000,9.468953,258540292.712,940.58089825574,4361.688323025598
97,GBR,1892-01-01,27618000,9.187926,253752140.26799998,912.6656020139993,4280.910087707649
98,GBR,1893-01-01,27936000,8.152521,227748826.65600002,809.8155651663687,3842.2227629904346
99,GBR,1894-01-01,28257000,9.247609,261309687.513,918.5941022136095,4408.409230001693
100,GBR,1895-01-01,28582000,9.247575,264314188.64999998,918.5907248866187,4459.096484155797
101,GBR,1896-01-01,28911000,9.4217205,272391361.37549996,935.8891454001849,4595.361936593877
102,GBR,1897-01-01,29344000,9.580751,281137557.344,951.6861454000856,4742.914105064557
103,GBR,1898-01-01,29580000,9.512696,281385547.68,944.9260280955859,4747.09781098292
104,GBR,1899-01-01,29921000,10.098207,302148451.647,1003.0866782032184,5097.3771227103425
105,GBR,1900-01-01,30253000,10.130563,306479922.439,1006.300701500616,5170.450937924276
106,GBR,1901-01-01,30594000,9.822414,300506933.916,975.6912916517543,5069.683997417421
107,GBR,1902-01-01,30907000,10.112165,312536683.655,1004.4731702660529,5272.6311605660485
108,GBR,1903-01-01,31202000,10.101308,315181012.21599996,1003.3947102914008,5317.242145127765
109,GBR,1904-01-01,31522000,10.058713,317070751.186,999.1636149040645,5349.122871774104
110,GBR,1905-01-01,31844000,10.100809,321650161.796,1003.3451430511548,5426.379540645546
111,GBR,1906-01-01,32171000,10.370096,333616358.416,1030.0942681496313,5628.254534755738
112,GBR,1907-01-01,32653000,10.736753,350587195.709,1066.5154617506296,5914.560015717274
113,GBR,1908-01-01,32834000,10.38103,340850739.02000004,1031.180376776586,5750.301713838727
114,GBR,1909-01-01,33170000,10.390703,344659618.51,1032.1412263054438,5814.559184196938
115,GBR,1910-01-01,33382000,10.398629,347127033.278,1032.9285408268672,5856.185555346889
116,GBR,1911-01-01,33704000,10.590891,356955390.264,1052.0265302941762,6021.99425561055
117,GBR,1912-01-01,33852000,9.978557,337794111.564,991.2014671903114,5698.735065782341
118,GBR,1913-01-01,34055000,10.86069,369860797.95,1078.8265139638067,6239.714153029457
119,GBR,1914-01-01,34444000,10.485616,361166557.504,1041.5692332663134,6093.038497049066
120,GBR,1915-01-01,34818000,10.576792,368262743.85599995,1050.626032257645,6212.754278387682
121,GBR,1916-01-01,34830000,10.90996,379993906.8,1083.7206581059377,6410.664151125986
122,GBR,1917-01-01,34831000,10.736765,373972261.71500003,1066.516653748391,6309.076353041815
123,GBR,1918-01-01,34805000,9.960041,346659227.005,989.3622146444276,5848.2934579992025
124,GBR,1919-01-01,34634000,9.703177,336059832.218,963.8471052284699,5669.47701129124
125,GBR,1920-01-01,34968000,9.997545,349594153.56,993.087604981478,5897.806958388642
126,GBR,1921-01-01,35274000,6.788965,239473951.41,674.369256867869,4040.0307688106677
127,GBR,1922-01-01,35519000,9.097927,323149269.11300004,903.7257181364348,5451.670139688864
128,GBR,1923-01-01,35745000,9.684494,346172238.03000003,961.991264047073,5840.077740041206
129,GBR,1924-01-01,36065000,10.154396,366218291.74,1008.6681083879593,6178.263472997919
130,GBR,1925-01-01,36198000,9.612562,347955519.276,954.8460321324851,5870.1624781134005
131,GBR,1926-01-01,36383000,5.2776713,192017514.90789998,524.24769792949,3239.4198358982053
132,GBR,1927-01-01,36562000,10.018853,366309303.386,995.2041956731873,6179.79887945025
133,GBR,1928-01-01,36796000,9.413679,346385732.484,935.0903579003079,5843.679485275091
134,GBR,1929-01-01,36923000,9.915558,366112148.03400004,984.9435782759601,6176.472782045394
135,GBR,1930-01-01,37172000,9.4863405,352626249.06600004,942.308053345476,5948.959741670862
136,GBR,1931-01-01,37395000,8.8461685,330802471.05749995,878.717754101391,5580.7830187876225
137,GBR,1932-01-01,37619000,8.465462,318462214.97800004,840.9009794546273,5372.597477259448
138,GBR,1933-01-01,37782000,8.3434105,315230735.511,828.7772198897143,5318.080998959441
139,GBR,1934-01-01,37913000,8.958943,339660405.959,889.9200000635732,5730.22027214848
140,GBR,1935-01-01,38107000,9.038448,344428137.93600005,897.8174818987692,5810.65400521678
141,GBR,1936-01-01,38322000,9.510645,364466937.69,944.7222958115286,6148.7173607488785
142,GBR,1937-01-01,38552000,9.76197,376343467.44,969.6871989274405,6349.079635368663
143,GBR,1938-01-01,38749000,9.314929,360944183.821,925.2812096552217,6089.286955321023
144,GBR,1939-01-01,38973000,9.343076,364127700.948,928.0771397377982,6142.994287873848
145,GBR,1940-01-01,39339000,9.766988,384223540.932,970.185652658011,6482.019937145634
146,GBR,1941-01-01,39145000,9.612435,376278768.075,954.8334168228432,6347.988128656623
147,GBR,1942-01-01,39371000,9.5578375,376301620.2125,949.4100753412118,6348.37365425592
148,GBR,1943-01-01,39803000,9.235073,367583610.619,917.3488618855041,6201.297002314661
149,GBR,1944-01-01,40000000,8.940624,357624960.0,888.1003161476063,6033.290191220151
150,GBR,1945-01-01,40214000,8.414498,338380622.572,835.8385649618417,5708.629764160242
151,GBR,1946-01-01,40227000,8.753415,352123625.20500004,869.5042570710053,5940.480256317143
152,GBR,1947-01-01,40549000,9.222285,373954434.465,916.0785896044088,6308.775599502237
153,GBR,1948-01-01,40950000,9.471385,387853215.75,940.8224764687226,6543.254145956894
154,GBR,1949-01-01,41214000,9.623215,396611183.01,955.904228145193,6691.004901286682
155,GBR,1950-01-01,41421000,10.004824,414409814.904,993.8106509569308,6991.275640843586
156,GBR,1951-01-01,41228000,10.846073,447161897.644,1077.3745613572407,7543.817665699103
